GC_Content	Count	sample
0	1.0	BC5_run3
1	1.0	BC5_run3
2	0.5	BC5_run3
3	0.0	BC5_run3
4	0.0	BC5_run3
5	5.5	BC5_run3
6	11.0	BC5_run3
7	15.0	BC5_run3
8	18.5	BC5_run3
9	11.0	BC5_run3
10	9.5	BC5_run3
11	44.0	BC5_run3
12	91.5	BC5_run3
13	174.5	BC5_run3
14	289.0	BC5_run3
15	453.0	BC5_run3
16	535.0	BC5_run3
17	720.0	BC5_run3
18	1460.5	BC5_run3
19	3249.0	BC5_run3
20	4663.5	BC5_run3
21	5686.5	BC5_run3
22	8624.5	BC5_run3
23	12471.5	BC5_run3
24	14752.0	BC5_run3
25	17344.5	BC5_run3
26	23118.5	BC5_run3
27	28448.0	BC5_run3
28	30705.5	BC5_run3
29	36264.5	BC5_run3
30	44001.5	BC5_run3
31	50455.5	BC5_run3
32	54258.5	BC5_run3
33	61442.0	BC5_run3
34	72554.5	BC5_run3
35	82618.0	BC5_run3
36	88762.0	BC5_run3
37	91892.0	BC5_run3
38	97184.5	BC5_run3
39	101296.0	BC5_run3
40	102866.5	BC5_run3
41	108344.5	BC5_run3
42	116569.0	BC5_run3
43	122221.5	BC5_run3
44	126577.0	BC5_run3
45	130132.5	BC5_run3
46	135031.0	BC5_run3
47	138812.0	BC5_run3
48	141251.5	BC5_run3
49	142014.0	BC5_run3
50	146246.0	BC5_run3
51	163480.5	BC5_run3
52	178397.0	BC5_run3
53	170660.0	BC5_run3
54	176593.0	BC5_run3
55	179046.5	BC5_run3
56	168971.5	BC5_run3
57	168415.0	BC5_run3
58	167269.5	BC5_run3
59	174767.5	BC5_run3
60	168644.5	BC5_run3
61	142093.0	BC5_run3
62	112458.5	BC5_run3
63	83955.0	BC5_run3
64	68271.5	BC5_run3
65	59100.5	BC5_run3
66	45322.5	BC5_run3
67	44282.5	BC5_run3
68	48651.5	BC5_run3
69	38258.5	BC5_run3
70	23187.0	BC5_run3
71	14900.5	BC5_run3
72	11278.0	BC5_run3
73	10457.0	BC5_run3
74	8367.0	BC5_run3
75	5958.0	BC5_run3
76	4780.5	BC5_run3
77	3743.5	BC5_run3
78	3153.5	BC5_run3
79	2638.5	BC5_run3
80	1870.5	BC5_run3
81	1435.5	BC5_run3
82	650.0	BC5_run3
83	329.0	BC5_run3
84	355.0	BC5_run3
85	233.0	BC5_run3
86	90.0	BC5_run3
87	30.5	BC5_run3
88	16.0	BC5_run3
89	14.0	BC5_run3
90	8.0	BC5_run3
91	3.5	BC5_run3
92	1.0	BC5_run3
93	0.0	BC5_run3
94	1.0	BC5_run3
95	2.5	BC5_run3
96	3.0	BC5_run3
97	2.5	BC5_run3
98	1.5	BC5_run3
99	1.5	BC5_run3
100	2.0	BC5_run3
0	7.0	BC12_run3
1	9.0	BC12_run3
2	10.0	BC12_run3
3	10.0	BC12_run3
4	14.0	BC12_run3
5	24.5	BC12_run3
6	54.5	BC12_run3
7	89.0	BC12_run3
8	98.5	BC12_run3
9	120.5	BC12_run3
10	201.0	BC12_run3
11	362.0	BC12_run3
12	494.5	BC12_run3
13	700.5	BC12_run3
14	1168.5	BC12_run3
15	1947.0	BC12_run3
16	2628.0	BC12_run3
17	3731.5	BC12_run3
18	5878.0	BC12_run3
19	9167.5	BC12_run3
20	11721.0	BC12_run3
21	14954.0	BC12_run3
22	21751.0	BC12_run3
23	30884.0	BC12_run3
24	36793.0	BC12_run3
25	44026.5	BC12_run3
26	57759.0	BC12_run3
27	73290.0	BC12_run3
28	82714.5	BC12_run3
29	93059.0	BC12_run3
30	112072.0	BC12_run3
31	133306.5	BC12_run3
32	145185.5	BC12_run3
33	159214.5	BC12_run3
34	183618.5	BC12_run3
35	206461.5	BC12_run3
36	218670.0	BC12_run3
37	230249.5	BC12_run3
38	253388.5	BC12_run3
39	275414.0	BC12_run3
40	287063.0	BC12_run3
41	311328.0	BC12_run3
42	369616.5	BC12_run3
43	404731.0	BC12_run3
44	400157.5	BC12_run3
45	407357.0	BC12_run3
46	430095.0	BC12_run3
47	448329.0	BC12_run3
48	455341.5	BC12_run3
49	470321.0	BC12_run3
50	499737.0	BC12_run3
51	546946.0	BC12_run3
52	579307.5	BC12_run3
53	550314.0	BC12_run3
54	523638.5	BC12_run3
55	503568.0	BC12_run3
56	482826.0	BC12_run3
57	459062.0	BC12_run3
58	416010.0	BC12_run3
59	397849.5	BC12_run3
60	389530.0	BC12_run3
61	362312.5	BC12_run3
62	350087.0	BC12_run3
63	342586.0	BC12_run3
64	325612.0	BC12_run3
65	258066.0	BC12_run3
66	155080.5	BC12_run3
67	116890.0	BC12_run3
68	116341.0	BC12_run3
69	94867.5	BC12_run3
70	64213.5	BC12_run3
71	57334.5	BC12_run3
72	59560.0	BC12_run3
73	62540.0	BC12_run3
74	68887.5	BC12_run3
75	58100.5	BC12_run3
76	41957.5	BC12_run3
77	37829.0	BC12_run3
78	32656.0	BC12_run3
79	21848.5	BC12_run3
80	13704.0	BC12_run3
81	9808.5	BC12_run3
82	4526.0	BC12_run3
83	2144.5	BC12_run3
84	1868.0	BC12_run3
85	2297.5	BC12_run3
86	1603.5	BC12_run3
87	395.0	BC12_run3
88	391.5	BC12_run3
89	216.5	BC12_run3
90	51.5	BC12_run3
91	45.0	BC12_run3
92	43.5	BC12_run3
93	34.5	BC12_run3
94	20.5	BC12_run3
95	12.5	BC12_run3
96	9.0	BC12_run3
97	6.0	BC12_run3
98	4.5	BC12_run3
99	6.0	BC12_run3
100	8.0	BC12_run3
0	0.0	BC5_run1
1	0.0	BC5_run1
2	1.0	BC5_run1
3	2.0	BC5_run1
4	2.0	BC5_run1
5	14.5	BC5_run1
6	27.5	BC5_run1
7	36.5	BC5_run1
8	44.0	BC5_run1
9	28.5	BC5_run1
10	25.0	BC5_run1
11	81.0	BC5_run1
12	153.5	BC5_run1
13	258.5	BC5_run1
14	436.5	BC5_run1
15	698.5	BC5_run1
16	814.5	BC5_run1
17	1167.5	BC5_run1
18	2239.5	BC5_run1
19	4772.5	BC5_run1
20	6898.5	BC5_run1
21	8606.0	BC5_run1
22	12925.5	BC5_run1
23	18466.5	BC5_run1
24	21772.5	BC5_run1
25	25575.5	BC5_run1
26	34156.5	BC5_run1
27	42290.0	BC5_run1
28	45716.0	BC5_run1
29	53081.5	BC5_run1
30	64008.5	BC5_run1
31	73081.5	BC5_run1
32	78198.5	BC5_run1
33	89069.0	BC5_run1
34	104983.5	BC5_run1
35	118945.0	BC5_run1
36	127796.5	BC5_run1
37	131985.0	BC5_run1
38	139707.0	BC5_run1
39	146019.0	BC5_run1
40	148264.0	BC5_run1
41	155695.5	BC5_run1
42	166834.5	BC5_run1
43	174568.0	BC5_run1
44	180656.0	BC5_run1
45	185851.0	BC5_run1
46	192158.0	BC5_run1
47	196293.0	BC5_run1
48	199715.0	BC5_run1
49	202574.0	BC5_run1
50	210444.0	BC5_run1
51	236582.5	BC5_run1
52	259038.0	BC5_run1
53	246067.5	BC5_run1
54	251718.0	BC5_run1
55	256074.0	BC5_run1
56	243833.5	BC5_run1
57	243671.5	BC5_run1
58	242053.5	BC5_run1
59	251129.5	BC5_run1
60	240195.5	BC5_run1
61	202047.0	BC5_run1
62	160713.0	BC5_run1
63	120101.0	BC5_run1
64	97305.5	BC5_run1
65	84359.0	BC5_run1
66	65153.5	BC5_run1
67	62679.5	BC5_run1
68	67561.0	BC5_run1
69	53737.5	BC5_run1
70	33309.0	BC5_run1
71	21585.0	BC5_run1
72	16374.0	BC5_run1
73	15092.5	BC5_run1
74	12145.0	BC5_run1
75	8731.5	BC5_run1
76	6981.0	BC5_run1
77	5492.0	BC5_run1
78	4599.0	BC5_run1
79	3817.5	BC5_run1
80	2700.0	BC5_run1
81	2081.0	BC5_run1
82	966.0	BC5_run1
83	476.0	BC5_run1
84	502.0	BC5_run1
85	335.0	BC5_run1
86	133.0	BC5_run1
87	49.5	BC5_run1
88	16.0	BC5_run1
89	11.5	BC5_run1
90	10.0	BC5_run1
91	4.5	BC5_run1
92	1.0	BC5_run1
93	1.5	BC5_run1
94	1.0	BC5_run1
95	0.5	BC5_run1
96	1.0	BC5_run1
97	1.5	BC5_run1
98	2.5	BC5_run1
99	3.5	BC5_run1
100	4.0	BC5_run1
0	0.0	BC6_run3
1	0.0	BC6_run3
2	0.5	BC6_run3
3	1.0	BC6_run3
4	1.0	BC6_run3
5	1.5	BC6_run3
6	2.0	BC6_run3
7	2.0	BC6_run3
8	2.0	BC6_run3
9	4.5	BC6_run3
10	9.0	BC6_run3
11	12.0	BC6_run3
12	15.0	BC6_run3
13	20.5	BC6_run3
14	24.0	BC6_run3
15	154.5	BC6_run3
16	329.0	BC6_run3
17	253.0	BC6_run3
18	110.0	BC6_run3
19	140.5	BC6_run3
20	308.5	BC6_run3
21	658.5	BC6_run3
22	1401.0	BC6_run3
23	2035.5	BC6_run3
24	2157.5	BC6_run3
25	2962.5	BC6_run3
26	3716.0	BC6_run3
27	3375.0	BC6_run3
28	3277.0	BC6_run3
29	4572.5	BC6_run3
30	6389.5	BC6_run3
31	8999.0	BC6_run3
32	11071.5	BC6_run3
33	13084.0	BC6_run3
34	13904.0	BC6_run3
35	14134.5	BC6_run3
36	15412.5	BC6_run3
37	15853.0	BC6_run3
38	16438.5	BC6_run3
39	19508.0	BC6_run3
40	21564.5	BC6_run3
41	20599.0	BC6_run3
42	18925.0	BC6_run3
43	17401.5	BC6_run3
44	17418.0	BC6_run3
45	19508.5	BC6_run3
46	22250.0	BC6_run3
47	24226.0	BC6_run3
48	26255.0	BC6_run3
49	27005.0	BC6_run3
50	27564.0	BC6_run3
51	48032.0	BC6_run3
52	68330.5	BC6_run3
53	50344.0	BC6_run3
54	28125.0	BC6_run3
55	23209.0	BC6_run3
56	21607.0	BC6_run3
57	19531.0	BC6_run3
58	15553.5	BC6_run3
59	14482.5	BC6_run3
60	14352.0	BC6_run3
61	10561.0	BC6_run3
62	8082.5	BC6_run3
63	6125.5	BC6_run3
64	4236.0	BC6_run3
65	3016.5	BC6_run3
66	1585.5	BC6_run3
67	1362.0	BC6_run3
68	1466.5	BC6_run3
69	1284.5	BC6_run3
70	980.0	BC6_run3
71	669.0	BC6_run3
72	508.0	BC6_run3
73	404.0	BC6_run3
74	346.0	BC6_run3
75	244.5	BC6_run3
76	107.5	BC6_run3
77	115.5	BC6_run3
78	98.0	BC6_run3
79	43.0	BC6_run3
80	21.5	BC6_run3
81	26.0	BC6_run3
82	27.0	BC6_run3
83	11.0	BC6_run3
84	2.5	BC6_run3
85	4.5	BC6_run3
86	3.5	BC6_run3
87	0.0	BC6_run3
88	0.5	BC6_run3
89	1.0	BC6_run3
90	0.5	BC6_run3
91	0.0	BC6_run3
92	0.0	BC6_run3
93	0.0	BC6_run3
94	0.0	BC6_run3
95	0.0	BC6_run3
96	0.0	BC6_run3
97	0.0	BC6_run3
98	0.0	BC6_run3
99	0.5	BC6_run3
100	1.0	BC6_run3
0	8.0	BC16_run3
1	6.5	BC16_run3
2	5.0	BC16_run3
3	5.5	BC16_run3
4	7.5	BC16_run3
5	14.0	BC16_run3
6	20.5	BC16_run3
7	18.0	BC16_run3
8	18.0	BC16_run3
9	33.0	BC16_run3
10	79.0	BC16_run3
11	127.5	BC16_run3
12	144.0	BC16_run3
13	200.0	BC16_run3
14	403.5	BC16_run3
15	721.0	BC16_run3
16	947.0	BC16_run3
17	1496.0	BC16_run3
18	2828.0	BC16_run3
19	5818.0	BC16_run3
20	8450.0	BC16_run3
21	12038.0	BC16_run3
22	19786.0	BC16_run3
23	31763.0	BC16_run3
24	40216.0	BC16_run3
25	50480.0	BC16_run3
26	72040.5	BC16_run3
27	99205.5	BC16_run3
28	116358.5	BC16_run3
29	136346.5	BC16_run3
30	172734.0	BC16_run3
31	213053.5	BC16_run3
32	235995.5	BC16_run3
33	266109.0	BC16_run3
34	316674.5	BC16_run3
35	357227.0	BC16_run3
36	378779.0	BC16_run3
37	399079.5	BC16_run3
38	428324.5	BC16_run3
39	457764.0	BC16_run3
40	483959.0	BC16_run3
41	524169.5	BC16_run3
42	597472.5	BC16_run3
43	628440.0	BC16_run3
44	612665.0	BC16_run3
45	603322.5	BC16_run3
46	603207.0	BC16_run3
47	600246.0	BC16_run3
48	589752.0	BC16_run3
49	581515.5	BC16_run3
50	561767.5	BC16_run3
51	533941.0	BC16_run3
52	511868.5	BC16_run3
53	454255.0	BC16_run3
54	379066.5	BC16_run3
55	319995.0	BC16_run3
56	281247.5	BC16_run3
57	260641.0	BC16_run3
58	235237.0	BC16_run3
59	214577.0	BC16_run3
60	195397.5	BC16_run3
61	170291.0	BC16_run3
62	147405.0	BC16_run3
63	114389.5	BC16_run3
64	84278.0	BC16_run3
65	59902.5	BC16_run3
66	31931.5	BC16_run3
67	21075.0	BC16_run3
68	16973.0	BC16_run3
69	13721.5	BC16_run3
70	9817.0	BC16_run3
71	6901.0	BC16_run3
72	5715.5	BC16_run3
73	4785.0	BC16_run3
74	3894.5	BC16_run3
75	3091.5	BC16_run3
76	2407.5	BC16_run3
77	1666.5	BC16_run3
78	862.0	BC16_run3
79	562.5	BC16_run3
80	487.0	BC16_run3
81	372.0	BC16_run3
82	213.5	BC16_run3
83	130.5	BC16_run3
84	98.5	BC16_run3
85	92.5	BC16_run3
86	81.0	BC16_run3
87	49.5	BC16_run3
88	35.0	BC16_run3
89	28.5	BC16_run3
90	24.5	BC16_run3
91	18.5	BC16_run3
92	14.0	BC16_run3
93	13.0	BC16_run3
94	9.0	BC16_run3
95	6.5	BC16_run3
96	6.0	BC16_run3
97	5.0	BC16_run3
98	2.5	BC16_run3
99	3.0	BC16_run3
100	6.0	BC16_run3
0	0.0	BC8_run2
1	0.0	BC8_run2
2	1.0	BC8_run2
3	2.0	BC8_run2
4	2.0	BC8_run2
5	3.5	BC8_run2
6	7.0	BC8_run2
7	16.0	BC8_run2
8	26.0	BC8_run2
9	30.5	BC8_run2
10	38.5	BC8_run2
11	63.5	BC8_run2
12	90.0	BC8_run2
13	127.5	BC8_run2
14	219.5	BC8_run2
15	396.5	BC8_run2
16	571.0	BC8_run2
17	896.0	BC8_run2
18	1611.0	BC8_run2
19	2970.0	BC8_run2
20	4102.0	BC8_run2
21	5221.0	BC8_run2
22	7783.0	BC8_run2
23	11586.0	BC8_run2
24	14047.5	BC8_run2
25	17215.0	BC8_run2
26	23177.5	BC8_run2
27	29771.0	BC8_run2
28	33807.0	BC8_run2
29	38553.0	BC8_run2
30	47326.0	BC8_run2
31	57212.0	BC8_run2
32	62638.5	BC8_run2
33	69297.0	BC8_run2
34	82508.0	BC8_run2
35	95337.0	BC8_run2
36	101460.5	BC8_run2
37	108811.5	BC8_run2
38	122282.5	BC8_run2
39	134527.5	BC8_run2
40	141093.0	BC8_run2
41	151277.0	BC8_run2
42	174953.0	BC8_run2
43	190508.0	BC8_run2
44	191204.5	BC8_run2
45	196076.0	BC8_run2
46	207340.0	BC8_run2
47	216050.5	BC8_run2
48	219729.0	BC8_run2
49	230313.5	BC8_run2
50	253784.5	BC8_run2
51	277717.5	BC8_run2
52	286310.5	BC8_run2
53	263690.5	BC8_run2
54	239487.5	BC8_run2
55	225747.5	BC8_run2
56	216401.0	BC8_run2
57	207159.5	BC8_run2
58	184379.0	BC8_run2
59	172180.0	BC8_run2
60	171567.0	BC8_run2
61	155247.5	BC8_run2
62	129803.5	BC8_run2
63	116442.5	BC8_run2
64	113065.5	BC8_run2
65	93961.0	BC8_run2
66	61125.0	BC8_run2
67	46756.5	BC8_run2
68	46297.0	BC8_run2
69	35785.0	BC8_run2
70	21419.0	BC8_run2
71	16333.5	BC8_run2
72	15106.5	BC8_run2
73	14094.5	BC8_run2
74	13573.5	BC8_run2
75	11831.5	BC8_run2
76	8993.0	BC8_run2
77	7926.5	BC8_run2
78	6912.5	BC8_run2
79	4566.0	BC8_run2
80	2735.5	BC8_run2
81	1820.5	BC8_run2
82	710.5	BC8_run2
83	252.0	BC8_run2
84	165.0	BC8_run2
85	121.5	BC8_run2
86	56.5	BC8_run2
87	30.5	BC8_run2
88	34.0	BC8_run2
89	35.0	BC8_run2
90	25.5	BC8_run2
91	15.5	BC8_run2
92	11.0	BC8_run2
93	9.5	BC8_run2
94	9.0	BC8_run2
95	8.0	BC8_run2
96	6.5	BC8_run2
97	5.5	BC8_run2
98	2.5	BC8_run2
99	0.5	BC8_run2
100	1.0	BC8_run2
0	0.0	BC6_run1
1	0.0	BC6_run1
2	4.5	BC6_run1
3	9.0	BC6_run1
4	9.0	BC6_run1
5	9.5	BC6_run1
6	21.0	BC6_run1
7	35.0	BC6_run1
8	41.5	BC6_run1
9	51.0	BC6_run1
10	67.5	BC6_run1
11	90.0	BC6_run1
12	104.5	BC6_run1
13	105.0	BC6_run1
14	133.5	BC6_run1
15	1102.0	BC6_run1
16	2376.0	BC6_run1
17	1883.5	BC6_run1
18	858.0	BC6_run1
19	1051.5	BC6_run1
20	2216.0	BC6_run1
21	4812.0	BC6_run1
22	10237.5	BC6_run1
23	14121.5	BC6_run1
24	14356.5	BC6_run1
25	20883.5	BC6_run1
26	26989.5	BC6_run1
27	24266.5	BC6_run1
28	23148.5	BC6_run1
29	31619.5	BC6_run1
30	44155.0	BC6_run1
31	61756.0	BC6_run1
32	75381.5	BC6_run1
33	89223.5	BC6_run1
34	93711.5	BC6_run1
35	94499.5	BC6_run1
36	103576.5	BC6_run1
37	106497.0	BC6_run1
38	111448.5	BC6_run1
39	131955.5	BC6_run1
40	144844.0	BC6_run1
41	137430.0	BC6_run1
42	124988.5	BC6_run1
43	115406.0	BC6_run1
44	116236.5	BC6_run1
45	129474.5	BC6_run1
46	147627.5	BC6_run1
47	158546.0	BC6_run1
48	168850.0	BC6_run1
49	174726.0	BC6_run1
50	180502.0	BC6_run1
51	332001.5	BC6_run1
52	481631.0	BC6_run1
53	345360.5	BC6_run1
54	182018.0	BC6_run1
55	150674.0	BC6_run1
56	140734.5	BC6_run1
57	127848.5	BC6_run1
58	101631.5	BC6_run1
59	93286.0	BC6_run1
60	91912.5	BC6_run1
61	66445.0	BC6_run1
62	49799.0	BC6_run1
63	37508.0	BC6_run1
64	24846.0	BC6_run1
65	17499.0	BC6_run1
66	9457.5	BC6_run1
67	8505.5	BC6_run1
68	9091.0	BC6_run1
69	7911.0	BC6_run1
70	6060.0	BC6_run1
71	4112.5	BC6_run1
72	3064.5	BC6_run1
73	2302.0	BC6_run1
74	2082.0	BC6_run1
75	1492.5	BC6_run1
76	495.5	BC6_run1
77	520.5	BC6_run1
78	372.5	BC6_run1
79	94.0	BC6_run1
80	72.5	BC6_run1
81	122.5	BC6_run1
82	166.5	BC6_run1
83	94.0	BC6_run1
84	28.5	BC6_run1
85	32.0	BC6_run1
86	23.5	BC6_run1
87	13.5	BC6_run1
88	9.0	BC6_run1
89	9.0	BC6_run1
90	13.0	BC6_run1
91	15.0	BC6_run1
92	12.0	BC6_run1
93	7.5	BC6_run1
94	3.0	BC6_run1
95	2.0	BC6_run1
96	2.5	BC6_run1
97	5.0	BC6_run1
98	6.0	BC6_run1
99	10.0	BC6_run1
100	15.0	BC6_run1
0	2.0	BC7_run2
1	2.5	BC7_run2
2	5.5	BC7_run2
3	9.5	BC7_run2
4	13.5	BC7_run2
5	29.0	BC7_run2
6	41.0	BC7_run2
7	39.5	BC7_run2
8	74.5	BC7_run2
9	104.0	BC7_run2
10	125.0	BC7_run2
11	255.5	BC7_run2
12	352.0	BC7_run2
13	342.5	BC7_run2
14	465.5	BC7_run2
15	810.0	BC7_run2
16	1079.0	BC7_run2
17	1717.0	BC7_run2
18	3234.0	BC7_run2
19	6061.5	BC7_run2
20	8164.5	BC7_run2
21	10617.0	BC7_run2
22	15718.5	BC7_run2
23	23904.0	BC7_run2
24	29773.5	BC7_run2
25	37135.0	BC7_run2
26	50788.5	BC7_run2
27	63992.0	BC7_run2
28	71575.0	BC7_run2
29	82148.5	BC7_run2
30	98713.0	BC7_run2
31	118097.0	BC7_run2
32	130426.0	BC7_run2
33	142976.5	BC7_run2
34	166064.5	BC7_run2
35	187330.5	BC7_run2
36	197701.5	BC7_run2
37	200263.0	BC7_run2
38	214182.0	BC7_run2
39	237090.0	BC7_run2
40	249371.0	BC7_run2
41	257930.0	BC7_run2
42	273532.5	BC7_run2
43	293646.5	BC7_run2
44	307983.5	BC7_run2
45	316419.0	BC7_run2
46	321767.0	BC7_run2
47	318347.5	BC7_run2
48	318212.5	BC7_run2
49	323225.5	BC7_run2
50	335320.5	BC7_run2
51	367984.0	BC7_run2
52	391094.0	BC7_run2
53	359517.5	BC7_run2
54	354733.0	BC7_run2
55	332117.5	BC7_run2
56	286499.0	BC7_run2
57	278935.5	BC7_run2
58	300131.5	BC7_run2
59	355927.0	BC7_run2
60	360723.5	BC7_run2
61	308683.5	BC7_run2
62	245973.5	BC7_run2
63	176956.5	BC7_run2
64	136579.5	BC7_run2
65	113870.5	BC7_run2
66	80580.5	BC7_run2
67	80135.0	BC7_run2
68	90795.0	BC7_run2
69	65975.0	BC7_run2
70	32599.5	BC7_run2
71	18073.0	BC7_run2
72	12474.0	BC7_run2
73	10878.0	BC7_run2
74	8303.0	BC7_run2
75	6417.0	BC7_run2
76	5414.0	BC7_run2
77	4711.5	BC7_run2
78	3493.5	BC7_run2
79	2476.5	BC7_run2
80	2012.0	BC7_run2
81	1468.5	BC7_run2
82	673.0	BC7_run2
83	198.5	BC7_run2
84	98.5	BC7_run2
85	62.5	BC7_run2
86	32.0	BC7_run2
87	18.5	BC7_run2
88	6.5	BC7_run2
89	3.0	BC7_run2
90	2.0	BC7_run2
91	4.0	BC7_run2
92	7.0	BC7_run2
93	6.0	BC7_run2
94	4.0	BC7_run2
95	3.5	BC7_run2
96	3.0	BC7_run2
97	2.5	BC7_run2
98	3.5	BC7_run2
99	4.0	BC7_run2
100	4.0	BC7_run2
0	1.0	BC8_run3
1	0.5	BC8_run3
2	3.5	BC8_run3
3	7.0	BC8_run3
4	8.0	BC8_run3
5	13.5	BC8_run3
6	24.5	BC8_run3
7	36.5	BC8_run3
8	43.0	BC8_run3
9	55.0	BC8_run3
10	71.5	BC8_run3
11	114.5	BC8_run3
12	170.5	BC8_run3
13	254.5	BC8_run3
14	446.5	BC8_run3
15	770.5	BC8_run3
16	1092.5	BC8_run3
17	1899.0	BC8_run3
18	3447.0	BC8_run3
19	6134.0	BC8_run3
20	8434.0	BC8_run3
21	11165.5	BC8_run3
22	16862.0	BC8_run3
23	24831.5	BC8_run3
24	30099.0	BC8_run3
25	37386.0	BC8_run3
26	49857.5	BC8_run3
27	63945.0	BC8_run3
28	73405.5	BC8_run3
29	83870.5	BC8_run3
30	103055.5	BC8_run3
31	124804.5	BC8_run3
32	136978.0	BC8_run3
33	151849.5	BC8_run3
34	180579.0	BC8_run3
35	208767.0	BC8_run3
36	222491.5	BC8_run3
37	238142.5	BC8_run3
38	268397.5	BC8_run3
39	295149.0	BC8_run3
40	308724.5	BC8_run3
